5u7l	7Y4	A	ic50=4.9nM
4d09	788	B	ic50=1.7nM
4d09	788	C	ic50=1.7nM
4d09	788	A	ic50=1.7nM
4d09	788	D	ic50=1.7nM
5tzw	7P4	C	ic50=0.987uM
5tzw	7P4	B	ic50=0.987uM
5tzw	7P4	A	ic50=0.987uM
5tzw	7P4	D	ic50=0.987uM
6cyc	FKJ	A	ic50=14nM
6cyc	FKJ	B	ic50=14nM
4d08	Q2T	A	ic50=10nM
4d08	Q2T	B	ic50=10nM
4d08	Q2T	C	ic50=10nM
4d08	Q2T	D	ic50=10nM
5c2h	4XU	B	Ki=0.0082nM
5i2r	67A	C	ic50=0.019uM
5i2r	67A	B	ic50=0.019uM
5i2r	67A	A	ic50=0.019uM
5i2r	67A	D	ic50=0.019uM
4fcb	0T7	A	ic50=2.9nM
4fcb	0T7	B	ic50=2.9nM
4lm3	9ZE	A	Ki=1200uM
5c29	4XY	A	Ki=880nM
